date,category,value,unit
2020-07,beef_steer_wagyu_young,14550,円/10kg
2020-07,calf_cross,200700,円/頭
2020-07,calf_fattening_crossbred,396600,円/頭
2020-07,calf_fattening_holstein_male,209600,円/頭
2020-07,calf_holstein_female,395100,円/頭
2020-07,calf_holstein_male,121300,円/頭
2020-07,milk,1048,円/10kg
2020-07,wagyu_calf_female,570100,円/頭
2020-07,wagyu_calf_male,658300,円/頭
2020-08,adult_beef_cow,749300,円/頭
2020-08,adult_dairy_cow,598400,円/頭
2020-08,beef_crossbred_fattened,9241,円/10kg
2020-08,beef_culled_dairy,3409,円/10kg
2020-08,beef_female_wagyu,14180,円/10kg
2020-08,beef_holstein_fattened_male,6609,円/10kg
2020-08,beef_steer_wagyu_young,14650,円/10kg
2020-08,calf_cross,180100,円/頭
2020-08,calf_fattening_crossbred,385000,円/頭
2020-08,calf_fattening_holstein_male,209500,円/頭
2020-08,calf_holstein_female,357300,円/頭
2020-08,calf_holstein_male,99250,円/頭
2020-08,milk,1043,円/10kg
2020-08,wagyu_calf_female,583900,円/頭
2020-08,wagyu_calf_male,665400,円/頭
2020-09,adult_beef_cow,683200,円/頭
2020-09,adult_dairy_cow,609600,円/頭
2020-09,beef_crossbred_fattened,9330,円/10kg
2020-09,beef_culled_dairy,3188,円/10kg
2020-09,beef_female_wagyu,14370,円/10kg
2020-09,beef_holstein_fattened_male,6588,円/10kg
2020-09,beef_steer_wagyu_young,15460,円/10kg
2020-09,calf_cross,147100,円/頭
2020-09,calf_fattening_crossbred,386000,円/頭
2020-09,calf_fattening_holstein_male,210400,円/頭
2020-09,calf_holstein_female,348600,円/頭
2020-09,calf_holstein_male,86710,円/頭
2020-09,milk,1059,円/10kg
2020-09,wagyu_calf_female,579700,円/頭
2020-09,wagyu_calf_male,676400,円/頭
2020-10,adult_beef_cow,676800,円/頭
2020-10,adult_dairy_cow,605500,円/頭
2020-10,beef_crossbred_fattened,9654,円/10kg
2020-10,beef_culled_dairy,3145,円/10kg
2020-10,beef_female_wagyu,15730,円/10kg
2020-10,beef_holstein_fattened_male,6542,円/10kg
2020-10,beef_steer_wagyu_young,16430,円/10kg
2020-10,calf_cross,126400,円/頭
2020-10,calf_fattening_crossbred,391100,円/頭
2020-10,calf_fattening_holstein_male,209500,円/頭
2020-10,calf_holstein_female,344000,円/頭
2020-10,calf_holstein_male,84770,円/頭
2020-10,milk,1062,円/10kg
2020-10,wagyu_calf_female,604300,円/頭
2020-10,wagyu_calf_male,694600,円/頭
2020-11,adult_beef_cow,651100,円/頭
2020-11,adult_dairy_cow,638900,円/頭
2020-11,beef_crossbred_fattened,10220,円/10kg
2020-11,beef_culled_dairy,3132,円/10kg
2020-11,beef_female_wagyu,16690,円/10kg
2020-11,beef_holstein_fattened_male,6532,円/10kg
2020-11,beef_steer_wagyu_young,17660,円/10kg
2020-11,calf_cross,144200,円/頭
2020-11,calf_fattening_crossbred,435600,円/頭
2020-11,calf_fattening_holstein_male,211700,円/頭
2020-11,calf_holstein_female,360600,円/頭
2020-11,calf_holstein_male,99130,円/頭
2020-11,milk,1059,円/10kg
2020-11,wagyu_calf_female,667500,円/頭
2020-11,wagyu_calf_male,749900,円/頭
2020-12,adult_beef_cow,734500,円/頭
2020-12,adult_dairy_cow,692900,円/頭
2020-12,beef_crossbred_fattened,10890,円/10kg
2020-12,beef_culled_dairy,3244,円/10kg
2020-12,beef_female_wagyu,17390,円/10kg
2020-12,beef_holstein_fattened_male,6508,円/10kg
2020-12,beef_steer_wagyu_young,18250,円/10kg
2020-12,calf_cross,152800,円/頭
2020-12,calf_fattening_crossbred,469100,円/頭
2020-12,calf_fattening_holstein_male,218000,円/頭
2020-12,calf_holstein_female,360600,円/頭
2020-12,calf_holstein_male,101500,円/頭
2020-12,milk,1038,円/10kg
2020-12,wagyu_calf_female,690200,円/頭
2020-12,wagyu_calf_male,796600,円/頭
2021-01,adult_beef_cow,806600,円/頭
2021-01,adult_dairy_cow,696600,円/頭
2021-01,beef_crossbred_fattened,10760,円/10kg
2021-01,beef_culled_dairy,3290,円/10kg
2021-01,beef_female_wagyu,16300,円/10kg
2021-01,beef_holstein_fattened_male,6890,円/10kg
2021-01,beef_steer_wagyu_young,17710,円/10kg
2021-01,calf_cross,131800,円/頭
2021-01,calf_fattening_crossbred,475300,円/頭
2021-01,calf_fattening_holstein_male,224100,円/頭
2021-01,calf_holstein_female,370200,円/頭
2021-01,calf_holstein_male,91220,円/頭
2021-01,milk,1040,円/10kg
2021-01,wagyu_calf_female,663000,円/頭
2021-01,wagyu_calf_male,779100,円/頭
2021-02,adult_beef_cow,749200,円/頭
2021-02,adult_dairy_cow,702900,円/頭
2021-02,beef_crossbred_fattened,10230,円/10kg
2021-02,beef_culled_dairy,3188,円/10kg
2021-02,beef_female_wagyu,16480,円/10kg
2021-02,beef_holstein_fattened_male,6883,円/10kg
2021-02,beef_steer_wagyu_young,17240,円/10kg
2021-02,calf_cross,142200,円/頭
2021-02,calf_fattening_crossbred,451000,円/頭
2021-02,calf_fattening_holstein_male,226700,円/頭
2021-02,calf_holstein_female,388100,円/頭
2021-02,calf_holstein_male,107300,円/頭
2021-02,milk,1039,円/10kg
2021-02,wagyu_calf_female,671500,円/頭
2021-02,wagyu_calf_male,785100,円/頭
2021-03,adult_beef_cow,792500,円/頭
2021-03,adult_dairy_cow,693900,円/頭
2021-03,beef_crossbred_fattened,10350,円/10kg
2021-03,beef_culled_dairy,3343,円/10kg
2021-03,beef_female_wagyu,17280,円/10kg
2021-03,beef_holstein_fattened_male,6797,円/10kg
2021-03,beef_steer_wagyu_young,17300,円/10kg
2021-03,calf_cross,155000,円/頭
2021-03,calf_fattening_crossbred,423100,円/頭
2021-03,calf_fattening_holstein_male,225800,円/頭
2021-03,calf_holstein_female,406900,円/頭
2021-03,calf_holstein_male,115600,円/頭
2021-03,milk,1029,円/10kg
2021-03,wagyu_calf_female,686400,円/頭
2021-03,wagyu_calf_male,804700,円/頭
2021-04,adult_beef_cow,779500,円/頭
2021-04,adult_dairy_cow,702500,円/頭
2021-04,beef_crossbred_fattened,11100,円/10kg
2021-04,beef_culled_dairy,3479,円/10kg
2021-04,beef_female_wagyu,17530,円/10kg
2021-04,beef_holstein_fattened_male,6877,円/10kg
2021-04,beef_steer_wagyu_young,18310,円/10kg
2021-04,calf_cross,165100,円/頭
2021-04,calf_fattening_crossbred,416400,円/頭
2021-04,calf_fattening_holstein_male,231500,円/頭
2021-04,calf_holstein_female,413600,円/頭
2021-04,calf_holstein_male,117900,円/頭
2021-04,milk,1022,円/10kg
2021-04,wagyu_calf_female,706300,円/頭
2021-04,wagyu_calf_male,815000,円/頭
2021-05,adult_beef_cow,822500,円/頭
2021-05,adult_dairy_cow,622800,円/頭
2021-05,beef_crossbred_fattened,11250,円/10kg
2021-05,beef_culled_dairy,3657,円/10kg
2021-05,beef_female_wagyu,16810,円/10kg
2021-05,beef_holstein_fattened_male,6886,円/10kg
2021-05,beef_steer_wagyu_young,17370,円/10kg
2021-05,calf_cross,175400,円/頭
2021-05,calf_fattening_crossbred,428700,円/頭
2021-05,calf_fattening_holstein_male,238900,円/頭
2021-05,calf_holstein_female,344200,円/頭
2021-05,calf_holstein_male,122900,円/頭
2021-05,milk,1027,円/10kg
2021-05,wagyu_calf_female,665300,円/頭
2021-05,wagyu_calf_male,767100,円/頭
2021-06,adult_beef_cow,753600,円/頭
2021-06,adult_dairy_cow,609800,円/頭
2021-06,beef_crossbred_fattened,10790,円/10kg
2021-06,beef_culled_dairy,3530,円/10kg
2021-06,beef_female_wagyu,16560,円/10kg
2021-06,beef_holstein_fattened_male,6966,円/10kg
2021-06,beef_steer_wagyu_young,16810,円/10kg
2021-06,calf_cross,190800,円/頭
2021-06,calf_fattening_crossbred,393100,円/頭
2021-06,calf_fattening_holstein_male,240800,円/頭
2021-06,calf_holstein_female,355900,円/頭
2021-06,calf_holstein_male,135400,円/頭
2021-06,milk,1036,円/10kg
2021-06,wagyu_calf_female,646800,円/頭
2021-06,wagyu_calf_male,734500,円/頭
2021-07,adult_beef_cow,786700,円/頭
2021-07,adult_dairy_cow,596700,円/頭
2021-07,beef_crossbred_fattened,10540,円/10kg
2021-07,beef_culled_dairy,3789,円/10kg
2021-07,beef_female_wagyu,16250,円/10kg
2021-07,beef_holstein_fattened_male,6911,円/10kg
2021-07,beef_steer_wagyu_young,17010,円/10kg
2021-07,calf_cross,213800,円/頭
2021-07,calf_fattening_crossbred,408500,円/頭
2021-07,calf_fattening_holstein_male,242900,円/頭
2021-07,calf_holstein_female,354600,円/頭
2021-07,calf_holstein_male,130500,円/頭
2021-07,milk,1037,円/10kg
2021-07,wagyu_calf_female,664600,円/頭
2021-07,wagyu_calf_male,756600,円/頭
2021-08,adult_beef_cow,788300,円/頭
2021-08,adult_dairy_cow,588100,円/頭
2021-08,beef_crossbred_fattened,10580,円/10kg
2021-08,beef_culled_dairy,3634,円/10kg
2021-08,beef_female_wagyu,16000,円/10kg
2021-08,beef_holstein_fattened_male,6951,円/10kg
2021-08,beef_steer_wagyu_young,16620,円/10kg
2021-08,calf_cross,193400,円/頭
2021-08,calf_fattening_crossbred,384800,円/頭
2021-08,calf_fattening_holstein_male,244600,円/頭
2021-08,calf_holstein_female,328100,円/頭
2021-08,calf_holstein_male,96530,円/頭
2021-08,milk,1032,円/10kg
2021-08,wagyu_calf_female,649200,円/頭
2021-08,wagyu_calf_male,734300,円/頭
2021-09,adult_beef_cow,747900,円/頭
2021-09,adult_dairy_cow,551200,円/頭
2021-09,beef_crossbred_fattened,10280,円/10kg
2021-09,beef_culled_dairy,3440,円/10kg
2021-09,beef_female_wagyu,15850,円/10kg
2021-09,beef_holstein_fattened_male,6946,円/10kg
2021-09,beef_steer_wagyu_young,16760,円/10kg
2021-09,calf_cross,164400,円/頭
2021-09,calf_fattening_crossbred,381700,円/頭
2021-09,calf_fattening_holstein_male,242700,円/頭
2021-09,calf_holstein_female,318100,円/頭
2021-09,calf_holstein_male,88970,円/頭
2021-09,milk,1050,円/10kg
2021-09,wagyu_calf_female,642400,円/頭
2021-09,wagyu_calf_male,730100,円/頭
2021-10,adult_beef_cow,699000,円/頭
2021-10,adult_dairy_cow,522900,円/頭
2021-10,beef_crossbred_fattened,9930,円/10kg
2021-10,beef_culled_dairy,3406,円/10kg
2021-10,beef_female_wagyu,16180,円/10kg
2021-10,beef_holstein_fattened_male,6919,円/10kg
2021-10,beef_steer_wagyu_young,17130,円/10kg
2021-10,calf_cross,148100,円/頭
2021-10,calf_fattening_crossbred,369700,円/頭
2021-10,calf_fattening_holstein_male,237500,円/頭
2021-10,calf_holstein_female,309000,円/頭
2021-10,calf_holstein_male,88810,円/頭
2021-10,milk,1053,円/10kg
2021-10,wagyu_calf_female,646400,円/頭
2021-10,wagyu_calf_male,739700,円/頭
2021-11,adult_beef_cow,726300,円/頭
2021-11,adult_dairy_cow,511600,円/頭
2021-11,beef_crossbred_fattened,10000,円/10kg
2021-11,beef_culled_dairy,3478,円/10kg
2021-11,beef_female_wagyu,16430,円/10kg
2021-11,beef_holstein_fattened_male,6942,円/10kg
2021-11,beef_steer_wagyu_young,17430,円/10kg
2021-11,calf_cross,150800,円/頭
2021-11,calf_fattening_crossbred,391200,円/頭
2021-11,calf_fattening_holstein_male,238900,円/頭
2021-11,calf_holstein_female,266300,円/頭
2021-11,calf_holstein_male,94000,円/頭
2021-11,milk,1048,円/10kg
2021-11,wagyu_calf_female,673700,円/頭
2021-11,wagyu_calf_male,771900,円/頭
2021-12,adult_beef_cow,829500,円/頭
2021-12,adult_dairy_cow,532500,円/頭
2021-12,beef_crossbred_fattened,10400,円/10kg
2021-12,beef_culled_dairy,3130,円/10kg
2021-12,beef_female_wagyu,17360,円/10kg
2021-12,beef_holstein_fattened_male,6952,円/10kg
2021-12,beef_steer_wagyu_young,17700,円/10kg
2021-12,calf_cross,153700,円/頭
2021-12,calf_fattening_crossbred,390300,円/頭
2021-12,calf_fattening_holstein_male,238500,円/頭
2021-12,calf_holstein_female,284200,円/頭
2021-12,calf_holstein_male,95740,円/頭
2021-12,milk,1028,円/10kg
2021-12,wagyu_calf_female,682800,円/頭
2021-12,wagyu_calf_male,780600,円/頭
2022-01,adult_beef_cow,809000,円/頭
2022-01,adult_dairy_cow,535700,円/頭
2022-01,beef_crossbred_fattened,10390,円/10kg
2022-01,beef_culled_dairy,3176,円/10kg
2022-01,beef_female_wagyu,16510,円/10kg
2022-01,beef_holstein_fattened_male,6849,円/10kg
2022-01,beef_steer_wagyu_young,16970,円/10kg
2022-01,calf_cross,141700,円/頭
2022-01,calf_fattening_crossbred,367100,円/頭
2022-01,calf_fattening_holstein_male,233400,円/頭
2022-01,calf_holstein_female,273600,円/頭
2022-01,calf_holstein_male,81340,円/頭
2022-01,milk,1032,円/10kg
2022-01,wagyu_calf_female,637800,円/頭
2022-01,wagyu_calf_male,754600,円/頭
2022-02,adult_beef_cow,823500,円/頭
2022-02,adult_dairy_cow,548100,円/頭
2022-02,beef_crossbred_fattened,9946,円/10kg
2022-02,beef_culled_dairy,2834,円/10kg
2022-02,beef_female_wagyu,15840,円/10kg
2022-02,beef_holstein_fattened_male,6910,円/10kg
2022-02,beef_steer_wagyu_young,16520,円/10kg
2022-02,calf_cross,151500,円/頭
2022-02,calf_fattening_crossbred,374600,円/頭
2022-02,calf_fattening_holstein_male,230000,円/頭
2022-02,calf_holstein_female,244400,円/頭
2022-02,calf_holstein_male,96810,円/頭
2022-02,milk,1038,円/10kg
2022-02,wagyu_calf_female,630500,円/頭
2022-02,wagyu_calf_male,754700,円/頭
2022-03,adult_beef_cow,981700,円/頭
2022-03,adult_dairy_cow,555600,円/頭
2022-03,beef_crossbred_fattened,9984,円/10kg
2022-03,beef_culled_dairy,2986,円/10kg
2022-03,beef_female_wagyu,16430,円/10kg
2022-03,beef_holstein_fattened_male,7024,円/10kg
2022-03,beef_steer_wagyu_young,16750,円/10kg
2022-03,calf_cross,164100,円/頭
2022-03,calf_fattening_crossbred,367900,円/頭
2022-03,calf_fattening_holstein_male,228500,円/頭
2022-03,calf_holstein_female,241400,円/頭
2022-03,calf_holstein_male,99580,円/頭
2022-03,milk,1024,円/10kg
2022-03,wagyu_calf_female,635000,円/頭
2022-03,wagyu_calf_male,755900,円/頭
2022-04,adult_beef_cow,761700,円/頭
2022-04,adult_dairy_cow,529300,円/頭
2022-04,beef_crossbred_fattened,10770,円/10kg
2022-04,beef_culled_dairy,3088,円/10kg
2022-04,beef_female_wagyu,16810,円/10kg
2022-04,beef_holstein_fattened_male,7149,円/10kg
2022-04,beef_steer_wagyu_young,17090,円/10kg
2022-04,calf_cross,170900,円/頭
2022-04,calf_fattening_crossbred,361200,円/頭
2022-04,calf_fattening_holstein_male,229600,円/頭
2022-04,calf_holstein_female,257200,円/頭
2022-04,calf_holstein_male,101300,円/頭
2022-04,milk,1029,円/10kg
2022-04,wagyu_calf_female,638000,円/頭
2022-04,wagyu_calf_male,747000,円/頭
2022-05,adult_beef_cow,760900,円/頭
2022-05,adult_dairy_cow,487900,円/頭
2022-05,beef_crossbred_fattened,10810,円/10kg
2022-05,beef_culled_dairy,3211,円/10kg
2022-05,beef_female_wagyu,16370,円/10kg
2022-05,beef_holstein_fattened_male,7133,円/10kg
2022-05,beef_steer_wagyu_young,16260,円/10kg
2022-05,calf_cross,178400,円/頭
2022-05,calf_fattening_crossbred,342400,円/頭
2022-05,calf_fattening_holstein_male,225500,円/頭
2022-05,calf_holstein_female,194400,円/頭
2022-05,calf_holstein_male,115900,円/頭
2022-05,milk,1022,円/10kg
2022-05,wagyu_calf_female,586100,円/頭
2022-05,wagyu_calf_male,682700,円/頭
2022-06,adult_beef_cow,727400,円/頭
2022-06,adult_dairy_cow,476400,円/頭
2022-06,beef_crossbred_fattened,10450,円/10kg
2022-06,beef_culled_dairy,3209,円/10kg
2022-06,beef_female_wagyu,16270,円/10kg
2022-06,beef_holstein_fattened_male,7193,円/10kg
2022-06,beef_steer_wagyu_young,16100,円/10kg
2022-06,calf_cross,178700,円/頭
2022-06,calf_fattening_crossbred,334400,円/頭
2022-06,calf_fattening_holstein_male,221500,円/頭
2022-06,calf_holstein_female,201100,円/頭
2022-06,calf_holstein_male,117300,円/頭
2022-06,milk,1043,円/10kg
2022-06,wagyu_calf_female,573500,円/頭
2022-06,wagyu_calf_male,662700,円/頭
2022-07,adult_beef_cow,737400,円/頭
2022-07,adult_dairy_cow,500300,円/頭
2022-07,beef_crossbred_fattened,10120,円/10kg
2022-07,beef_culled_dairy,3245,円/10kg
2022-07,beef_female_wagyu,15840,円/10kg
2022-07,beef_holstein_fattened_male,7265,円/10kg
2022-07,beef_steer_wagyu_young,15720,円/10kg
2022-07,calf_cross,155700,円/頭
2022-07,calf_fattening_crossbred,338100,円/頭
2022-07,calf_fattening_holstein_male,213200,円/頭
2022-07,calf_holstein_female,182000,円/頭
2022-07,calf_holstein_male,84830,円/頭
2022-07,milk,1033,円/10kg
2022-07,wagyu_calf_female,556100,円/頭
2022-07,wagyu_calf_male,658200,円/頭
2022-08,adult_beef_cow,609800,円/頭
2022-08,adult_dairy_cow,467100,円/頭
2022-08,beef_crossbred_fattened,10010,円/10kg
2022-08,beef_culled_dairy,2871,円/10kg
2022-08,beef_female_wagyu,15480,円/10kg
2022-08,beef_holstein_fattened_male,7201,円/10kg
2022-08,beef_steer_wagyu_young,16020,円/10kg
2022-08,calf_cross,102600,円/頭
2022-08,calf_fattening_crossbred,305100,円/頭
2022-08,calf_fattening_holstein_male,194600,円/頭
2022-08,calf_holstein_female,159900,円/頭
2022-08,calf_holstein_male,38600,円/頭
2022-08,milk,1027,円/10kg
2022-08,wagyu_calf_female,538700,円/頭
2022-08,wagyu_calf_male,637100,円/頭
2022-09,adult_beef_cow,699500,円/頭
2022-09,adult_dairy_cow,443500,円/頭
2022-09,beef_crossbred_fattened,10000,円/10kg
2022-09,beef_culled_dairy,2997,円/10kg
2022-09,beef_female_wagyu,15340,円/10kg
2022-09,beef_holstein_fattened_male,7187,円/10kg
2022-09,beef_steer_wagyu_young,16260,円/10kg
2022-09,calf_cross,79300,円/頭
2022-09,calf_fattening_crossbred,337700,円/頭
2022-09,calf_fattening_holstein_male,167600,円/頭
2022-09,calf_holstein_female,148100,円/頭
2022-09,calf_holstein_male,17300,円/頭
2022-09,milk,1046,円/10kg
2022-09,wagyu_calf_female,528700,円/頭
2022-09,wagyu_calf_male,626600,円/頭
2022-10,adult_beef_cow,671600,円/頭
2022-10,adult_dairy_cow,418600,円/頭
2022-10,beef_crossbred_fattened,9986,円/10kg
2022-10,beef_culled_dairy,2941,円/10kg
2022-10,beef_female_wagyu,15950,円/10kg
2022-10,beef_holstein_fattened_male,7064,円/10kg
2022-10,beef_steer_wagyu_young,16440,円/10kg
2022-10,calf_cross,79030,円/頭
2022-10,calf_fattening_crossbred,333200,円/頭
2022-10,calf_fattening_holstein_male,144000,円/頭
2022-10,calf_holstein_female,166300,円/頭
2022-10,calf_holstein_male,19470,円/頭
2022-10,milk,1054,円/10kg
2022-10,wagyu_calf_female,532800,円/頭
2022-10,wagyu_calf_male,622200,円/頭
2022-11,adult_beef_cow,595600,円/頭
2022-11,adult_dairy_cow,403900,円/頭
2022-11,beef_crossbred_fattened,10160,円/10kg
2022-11,beef_culled_dairy,2892,円/10kg
2022-11,beef_female_wagyu,16090,円/10kg
2022-11,beef_holstein_fattened_male,7394,円/10kg
2022-11,beef_steer_wagyu_young,16650,円/10kg
2022-11,calf_cross,83730,円/頭
2022-11,calf_fattening_crossbred,352500,円/頭
2022-11,calf_fattening_holstein_male,138700,円/頭
2022-11,calf_holstein_female,150600,円/頭
2022-11,calf_holstein_male,22910,円/頭
2022-11,milk,1091,円/10kg
2022-11,wagyu_calf_female,551200,円/頭
2022-11,wagyu_calf_male,649600,円/頭
2022-12,adult_beef_cow,694700,円/頭
2022-12,adult_dairy_cow,433700,円/頭
2022-12,beef_crossbred_fattened,10480,円/10kg
2022-12,beef_culled_dairy,2610,円/10kg
2022-12,beef_female_wagyu,16120,円/10kg
2022-12,beef_holstein_fattened_male,7442,円/10kg
2022-12,beef_steer_wagyu_young,16730,円/10kg
2022-12,calf_cross,74110,円/頭
2022-12,calf_fattening_crossbred,356800,円/頭
2022-12,calf_fattening_holstein_male,138500,円/頭
2022-12,calf_holstein_female,156800,円/頭
2022-12,calf_holstein_male,20400,円/頭
2022-12,milk,1074,円/10kg
2022-12,wagyu_calf_female,553500,円/頭
2022-12,wagyu_calf_male,661000,円/頭
2023-01,adult_beef_cow,704100,円/頭
2023-01,adult_dairy_cow,462800,円/頭
2023-01,beef_crossbred_fattened,10410,円/10kg
2023-01,beef_culled_dairy,2571,円/10kg
2023-01,beef_female_wagyu,15630,円/10kg
2023-01,beef_holstein_fattened_male,7235,円/10kg
2023-01,beef_steer_wagyu_young,16800,円/10kg
2023-01,calf_cross,63670,円/頭
2023-01,calf_fattening_crossbred,371200,円/頭
2023-01,calf_fattening_holstein_male,138200,円/頭
2023-01,calf_holstein_female,188000,円/頭
2023-01,calf_holstein_male,18940,円/頭
2023-01,milk,1078,円/10kg
2023-01,wagyu_calf_female,530800,円/頭
2023-01,wagyu_calf_male,647800,円/頭
2023-02,adult_beef_cow,799100,円/頭
2023-02,adult_dairy_cow,515400,円/頭
2023-02,beef_crossbred_fattened,9716,円/10kg
2023-02,beef_culled_dairy,2638,円/10kg
2023-02,beef_female_wagyu,15470,円/10kg
2023-02,beef_holstein_fattened_male,7208,円/10kg
2023-02,beef_steer_wagyu_young,16420,円/10kg
2023-02,calf_cross,75740,円/頭
2023-02,calf_fattening_crossbred,342300,円/頭
2023-02,calf_fattening_holstein_male,137200,円/頭
2023-02,calf_holstein_female,209700,円/頭
2023-02,calf_holstein_male,33410,円/頭
2023-02,milk,1081,円/10kg
2023-02,wagyu_calf_female,527300,円/頭
2023-02,wagyu_calf_male,647000,円/頭
2023-03,adult_beef_cow,639500,円/頭
2023-03,adult_dairy_cow,496000,円/頭
2023-03,beef_crossbred_fattened,9571,円/10kg
2023-03,beef_culled_dairy,2846,円/10kg
2023-03,beef_female_wagyu,15240,円/10kg
2023-03,beef_holstein_fattened_male,7170,円/10kg
2023-03,beef_steer_wagyu_young,16450,円/10kg
2023-03,calf_cross,90960,円/頭
2023-03,calf_fattening_crossbred,335600,円/頭
2023-03,calf_fattening_holstein_male,140400,円/頭
2023-03,calf_holstein_female,222900,円/頭
2023-03,calf_holstein_male,55050,円/頭
2023-03,milk,1067,円/10kg
2023-03,wagyu_calf_female,528900,円/頭
2023-03,wagyu_calf_male,656200,円/頭
2023-04,adult_beef_cow,667700,円/頭
2023-04,adult_dairy_cow,472600,円/頭
2023-04,beef_crossbred_fattened,10040,円/10kg
2023-04,beef_culled_dairy,2991,円/10kg
2023-04,beef_female_wagyu,15520,円/10kg
2023-04,beef_holstein_fattened_male,7253,円/10kg
2023-04,beef_steer_wagyu_young,17350,円/10kg
2023-04,calf_cross,101200,円/頭
2023-04,calf_fattening_crossbred,331900,円/頭
2023-04,calf_fattening_holstein_male,147100,円/頭
2023-04,calf_holstein_female,233100,円/頭
2023-04,calf_holstein_male,53630,円/頭
2023-04,milk,1126,円/10kg
2023-04,wagyu_calf_female,531000,円/頭
